Status;Category;Level;Section Nr;Section Name;HTML File Name;Feature Names;Keywords;Remarks
OK, (Assign right Category);Start;1;;Welcome to B4P;MAS_Features_Table_of_Contents.html;Table of Contents;Table of Contents;
Missing, (Assign right Category);Link;1;;User Guide;GUI_Features_Table_of_Contents.html;;;
Missing, (Assign right Category);Link;1;;Reference Manual;REF_Features_Table_of_Contents.html;;;
Missing;Body;1;B 1;Imprint;;;;
