Locale;Language;Country;Date Language;List Separator;Currency;Currency Symbol;Decimal Symbol;Thousand Symbol;Thousand Digit;Date Separator Symbol;Time Separator Symbol;Date Format;Time Format;;Lookup Date Language;Months;Short Months;Weekdays;Short Weekdays 2;Short Weekdays 3;Ordinal;Week;Week Abbr;True False;;;Notes:
en_CH;English;Switzerland;en;,;CHF;CHF;,;.;3;/;:;DD/MM/YYYY;HH:II:SS;;;;;;;;;;;;;;
de_AT;German;Austria;de_at;";";EUR;€;,; ;3;.;:;DD.MM.YYYY;HH:II:SS;;;;;;;;;;;;;;
en_AT;English;Austria;en;,;EUR;€;,;.;3;/;:;DD/MM/YYYY;HH:II:SS;;;;;;;;;;;;;;
fr_CA;French;Canada;fr;";";CAD;$;.; ;3;.;:;yyyy-MM-dd;HH:II:SS;;;;;;;;;;;;;;
fr_FR;French;France;fr;";";EUR;€;,; ;3;.;:;DD.MM.YYYY;HH:II:SS;;;;;;;;;;;;;;
fr_CH;French;Switzerland;fr;";";CHF;CHF;,; ;3;.;:;DD.MM.YYYY;HH:II:SS;;;;;;;;;;;;;;
fr_BE;French;Belgium;fr;";";EUR;€;,; ;3;/;:;D/MM/YYYY;HH:II:SS;;;;;;;;;;;;;;
it_IT;Italian;Italy;it;";";EUR;€;,;.;3;/;:;DD/MM/YYYY;HH:II:SS;;;;;;;;;;;;;;
it_CH;Italian;Switzerland;it;";";CHF;CHF;.;';3;.;:;DD.MM.YYYY;HH:II:SS;;;;;;;;;;;;;;
it_CH_HP;Italian;Switzerland HP;it;";";CHF;CHF;.;’;3;.;:;DD.MM.YYYY;HH:II:SS;;;;;;;;;;;;;;
de_IT;German;Italy;de;";";EUR;€;,;.;3;.;:;DD.MM.YYYY;HH:II:SS;;;;;;;;;;;;;;
es_ES;Spanish;Spain;es;";";EUR;€;.;,;3;/;:;D/MM/YYYY;HH:II:SS;;;;;;;;;;;;;;
es_US;Spanish;USA;es;,;USD;$;.;,;3;/;:;M/D/YYYY;HH:II:SS;;;;;;;;;;;;;;
sv_SE;Swedish;Sweden;en;";";SEK;SEK;,; ;3;-;:;YYYY-MM-DD;HH:II:SS;;;;;;;;;;;;;;
en_SE;English;Sweden;en;";";SEK;SEK;,;;3;-;:;YYYY-MM-DD;HH:II:SS;;;;;;;;;;;;;;
nl_NL;Dutch;Netherlands;nl;";";EUR;€;,;.;3;;:;DD-MM-YYYY;HH:II:SS;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;B4P Locale Directory;;;http://www.localeplanet.com/icu/;;;;; ;= 1 blank;;;;;;;;;;;;;;;
